verbatim,diagnosis,comment,verbatim_trans_fr,diagnosis_trans_fr,comment_trans_fr,text,ce
MAUVAISE INDICATION CARBURNT,,"DEMARRAGE IMPOSSIBLE.SUITE FIC 4-10425022, REMPL DU TABLEAU MAUVAISE INDICTION CARBURANT",MAUVAISE INDICATION CARBURNT,,"DEMARRAGE IMPOSSIBLE.SUITE FIC 4-10425022, REMPL DU TABLEAU MAUVAISE INDICTION CARBURANT","MAUVAISE INDICATION CARBURNT. DEMARRAGE IMPOSSIBLE.SUITE FIC 4-10425022, REMPL DU TABLEAU MAUVAISE INDICTION CARBURANT",fuel gauge issue
jiz 2x se nahodile vyresetovala prumerna spotrebaa prumerna rychlost,"oprava dle FIC 4-10696516, CODECAL AR2Y0D","oprava dle FIC 4-10696516, CODECAL AR2Y0D",La consommation moyenne et la vitesse moyenne ont été réinitialisées aléatoirement deux fois,"réparation selon FIC 4-10696516, CODECAL AR2Y0D","réparation selon FIC 4-10696516, CODECAL AR2Y0D","La consommation moyenne et la vitesse moyenne ont été réinitialisées aléatoirement deux fois. réparation selon FIC 4-10696516, CODECAL AR2Y0D. réparation selon FIC 4-10696516, CODECAL AR2Y0D",reset adac
MANCA PARZIALE VETTURA,MANCA PARZIALE VETTURA CAUSA CONFIGURAZIONE QUADROSTRUMENTI NON COERENTE,COME DA SOLUZIONE ACTIS AGGIORNATO QUADRO STRUMENTI,PARTIEL SANS VOITURE,ABSENCE PARTIELLE DU VEHICULE CAUSE CONFIGURATION DES INSTRUMENTS NON COHERENTE,SELON LA SOLUTION ACTIS TABLEAU DE BORD MISE A JOUR,PARTIEL SANS VOITURE. ABSENCE PARTIELLE DU VEHICULE CAUSE CONFIGURATION DES INSTRUMENTS NON COHERENTE. SELON LA SOLUTION ACTIS TABLEAU DE BORD MISE A JOUR,inex
,INSTRUMENTENTAFEL MUSS NEU PROGRAMMIERT WERDEN,KUNDE BEMÄNGELT: TAGESKILOMETERZÄHLER GEHT IMMER WIEDER ZURÜCK,,LE TABLEAU DE BORD DOIT ÊTRE REPROGRAMMÉ,PLAINTES DES CLIENTS : LE COMPTEUR TRIP CONTINUE DE DIMINUER, LE TABLEAU DE BORD DOIT ÊTRE REPROGRAMMÉ. PLAINTES DES CLIENTS : LE COMPTEUR TRIP CONTINUE DE DIMINUER,reset adac
MESSAGE AU TABLEAU DE BORD/ ARRET MOTEUR FORCE ???,MESSAGE NON REPRODUIT AU TABLEAU DE BORD,0834 = CONTROLE FUSIBLE COUPE CONSOMMATEUR + CONTROLE ALIM S UR TABLEAU DE BORD,MESSAGE AU TABLEAU DE BORD ARRET MOTEUR FORCE ???,MESSAGE NON REPRODUIT AU TABLEAU DE BORD,0834 = CONTROLE FUSIBLE COUPE CONSOMMATEUR + CONTROLE ALIM S UR TABLEAU DE BORD,MESSAGE AU TABLEAU DE BORD ARRET MOTEUR FORCE '''. MESSAGE NON REPRODUIT AU TABLEAU DE BORD. 0834 = CONTROLE FUSIBLE COUPE CONSOMMATEUR + CONTROLE ALIM S UR TABLEAU DE BORD,out of scope
DEMARRAGE EN COTE A CONTROLER SUITE OTS ODK5,DIAG AVEC TECHLINE SUITE PLANTAGE OTS 0DK5 FIC 4-10210693,DIAG VALISE   CTRL PARAMETRE   CTRL ET DIAG AVEC TECHLINE   CONFIG AUTO INJECTION   ESSAI//DIAG VALISE + CTRL PARAMETRE + CTRL ET DIAG AVEC TECHLINE + CONFIG AUTO INJECTION + ESSAI,DEMARRAGE EN COTE A CONTROLER SUITE OTS ODK5,DIAG AVEC TECHLINE SUITE PLANTAGE OTS 0DK5 FIC 4-10210693,DIAG VALISE   CTRL PARAMETRE   CTRL ET DIAG AVEC TECHLINE   CONFIG AUTO INJECTION   ESSAIDIAG VALISE + CTRL PARAMETRE + CTRL ET DIAG AVEC TECHLINE + CONFIG AUTO INJECTION + ESSAI,DEMARRAGE EN COTE A CONTROLER SUITE OTS ODK5. DIAG AVEC TECHLINE SUITE PLANTAGE OTS 0DK5 FIC 4-10210693. DIAG VALISE  CTRL PARAMETRE  CTRL ET DIAG AVEC TECHLINE  CONFIG AUTO INJECTION  ESSAIDIAG VALISE + CTRL PARAMETRE + CTRL ET DIAG AVEC TECHLINE + CONFIG AUTO INJECTION + ESSAI,out of scope
ARRIVEE EN DEPANNEUSE /MESSAGE PANNE DE BATTERIE,TABLEAU DE BORD DEFECTUEUX,ACCORD DE DIAGNOSTIC FIC 4-10714496,ARRIVEE EN DEPANNEUSE MESSAGE PANNE DE BATTERIE,TABLEAU DE BORD DEFECTUEUX,ACCORD DE DIAGNOSTIC FIC 4-10714496,ARRIVEE EN DEPANNEUSE MESSAGE PANNE DE BATTERIE. TABLEAU DE BORD DEFECTUEUX. ACCORD DE DIAGNOSTIC FIC 4-10714496,fuel gauge issue
CONTA KM PARZIALE GPL SI E' RESETTATO 2 VOLTE,CONTA KM PARZIALE SI AZZERA AUTONOMAMENTE,COME DA SOL. ACTIS NR 61855 ABBIAMO RIPROGRAMMATO IL QUADRO DELLA STRUMENTAZIONE//PROBLEMA RISOLTO.,LE COMPTEUR DE KM PARTIEL GPL A RÉINITIALISÉ 2 FOIS,LE COMPTEUR DE KM PARTIEL SE RÉINITIALISE,AS DA SOL. ACTIS NR 61855 NOUS AVONS REPROGRAMMÉ LE PROBLÈME DE TABLEAU DE BORD RÉSOLU.,LE COMPTEUR DE KM PARTIEL GPL A RÉINITIALISÉ 2 FOIS. LE COMPTEUR DE KM PARTIEL SE RÉINITIALISE. AS DA SOL. ACTIS NR 61855 NOUS AVONS REPROGRAMMÉ LE PROBLÈME DE TABLEAU DE BORD RÉSOLU.,reset adac
,,"DTCDC008 Helligkeitssensor, DTCAC7904 Innenleuchte//Fehler löschen",,,"DTCDC008 Capteur de luminosité, DTCAC7904 Éclairage intérieur Effacer l'erreur"," . DTCDC008 Capteur de luminosité, DTCAC7904 Éclairage intérieur Effacer l'erreur",inex
Verbrauchsanzeigen prüfen,Fehlerhafte Software der Instrumententafel,"Kundenbeanstandung geprüft und bestätigt, Instrumententafel neuprogrammiert, Actislösung - 61855, i.O",Vérifier les affichages de consommation,Logiciel de tableau de bord défectueux,"Réclamation client vérifiée et confirmée, tableau de bord reprogrammé, solution Actis - 61855, OK","Vérifier les affichages de consommation. Logiciel de tableau de bord défectueux. Réclamation client vérifiée et confirmée, tableau de bord reprogrammé, solution Actis - 61855, OK",reset adac
,,CONTROLER CLIP + CONFIGURATION TABLEAU DE BORD,,,CONTROLER CLIP + CONFIGURATION TABLEAU DE BORD, . CONTROLER CLIP + CONFIGURATION TABLEAU DE BORD,out of scope
I PARZIALI DEL CONTAKM SI AZZERANO DA SOLI,I PARZIALI DEL CONTAKM SI AZZERANO DA SOLI,APLLICATO BT ACTIS 61855 CON REPROGR CALC QUADRO STRUMENTI//CODECAL: AWICVD - COD.FORN.: 30372D56697374656F6E2D4E6,LES PARTIELS DU CONTAKM RESET SEULS,LES PARTIELS DU CONTAKM RESET SEULS,APLLICATO BT ACTIS 61855 CON REPROGR CALC QUADRO STRUMENTICODECAL : AWICVD - COD.FORN. : 30372D56697374656F6E2D4E6,LES PARTIELS DU CONTAKM RESET SEULS. LES PARTIELS DU CONTAKM RESET SEULS. APLLICATO BT ACTIS 61855 CON REPROGR CALC QUADRO STRUMENTICODECAL : AWICVD - COD.FORN. : 30372D56697374656F6E2D4E6,reset adac
CTRL QUADRO STRUM PER INDICAZ ERRATA,DURNT PRV SU STRD SI RISC CHE NELLA SCHERM VELOC  MEDIA INDICA I CONSUMI DEL VEICOLO,ESEGUITA ED APPLICATA LA SOLUZ          ACTIS N.61596                           PER LA RIPGR DEL QUADRO STRUMENTI,TABLEAU DE BORD CTRL POUR INDICATION ERRONÉE,DURNT PRV ON STRD VOUS VOYEZ QUE LA CONSOMMATION DU VÉHICULE EST INDIQUÉE DANS L'ÉCRAN SPEED MEDIA,SOLUZ ACTIS N.61596 POUR LA RÉPARATION DU TABLEAU DE BORD FAIT ET APPLIQUÉ,TABLEAU DE BORD CTRL POUR INDICATION ERRONÉE. DURNT PRV ON STRD VOUS VOYEZ QUE LA CONSOMMATION DU VÉHICULE EST INDIQUÉE DANS L'ÉCRAN SPEED MEDIA. SOLUZ ACTIS N.61596 POUR LA RÉPARATION DU TABLEAU DE BORD FAIT ET APPLIQUÉ,reset adac
LIVELLO CARBURANTE CON PIENO SEGNA MEZZO O UN QUARTO,RIPROGRAMMAZIONE QUADRO STRUMENTI,RIPROGRAMMAZIONE QUADRO STRUMENTI,NIVEAU DE CARBURANT À MOITIÉ OU AU QUART PLEIN,REPROGRAMMATION DU TABLEAU DE BORD,REPROGRAMMATION DU TABLEAU DE BORD,NIVEAU DE CARBURANT À MOITIÉ OU AU QUART PLEIN. REPROGRAMMATION DU TABLEAU DE BORD. REPROGRAMMATION DU TABLEAU DE BORD,inex
Kunde beanstandet:Tageskilometerzähler geht von alleine auf 0km.,Neuprogrammierung Instrumententafel Codecal XMQSJJ,Tageskilometerzähler geht von alleine auf null.//Neuprogrammierung Instrumententafel Codecal XMQSJJ,Le client se plaint : le compteur journalier passe à 0 km tout seul.,Reprogrammation tableau de bord Codecal XMQSJJ,Le compteur journalier se remet à zéro de lui-même Reprogrammation tableau de bord Codecal XMQSJJ,Le client se plaint : le compteur journalier passe à 0 km tout seul. Reprogrammation tableau de bord Codecal XMQSJJ. Le compteur journalier se remet à zéro de lui-même Reprogrammation tableau de bord Codecal XMQSJJ,reset adac
MESSAGE POSITION P BVA DEFAILLANTE  RE,BVA A CONTROLER,APPLICATION SOLUTION ACTIS 66033 UTILISATION OPECODE 8263 CAR 00PM NE PASSE PAS,MESSAGE POSITION P BVA DEFAILLANTE RE,BVA A CONTROLER,APPLICATION SOLUTION ACTIS 66033 UTILISATION OPECODE 8263 CAR 00PM NE PASSE PAS,MESSAGE POSITION P BVA DEFAILLANTE RE. BVA A CONTROLER. APPLICATION SOLUTION ACTIS 66033 UTILISATION OPECODE 8263 CAR 00PM NE PASSE PAS,out of scope
Br{nsle niv} m{tning felvisning/ laddplatta f¦: instrumentpanel: omprogrammering,Br{nsle niv} m{tning felvisning/ laddplatta f¦r telefon fel visning/symtom I165,Br{nsle niv} m{tning felvisning/ laddplatta f¦r telefon fel visning/symtom I165,Affichage erreur mesure niveau carburant plaque de charge f : tableau de bord : reprogrammation,Plaque de charge d'affichage d'erreur de mesure de niveau de carburant pour les symptômes d'affichage d'erreur de téléphone I165,Plaque de charge d'affichage d'erreur de mesure de niveau de carburant pour les symptômes d'affichage d'erreur de téléphone I165,Affichage erreur mesure niveau carburant plaque de charge f : tableau de bord : reprogrammation. Plaque de charge d'affichage d'erreur de mesure de niveau de carburant pour les symptômes d'affichage d'erreur de téléphone I165. Plaque de charge d'affichage d'erreur de mesure de niveau de carburant pour les symptômes d'affichage d'erreur de téléphone I165,fuel gauge issue
,HERPROGRAMEREN INSTRUMENTENPANEEL,BRANDSTOFMETER GEEFT NIET GOED AAN CONTROLE MET DE CLIP ACTIS RAADPLEGEN//HERPROGRAMMEREN VAN HET INSTRUMETENPANEEL,,REPROGRAMMATION TABLEAU DE BORD,JAUGE CARBURANT PAS BON A VERIFIER AVEC LE CLIP ACTIS CONSULT REPROGRAMMATION TABLEAU DE BORD, REPROGRAMMATION TABLEAU DE BORD. JAUGE CARBURANT PAS BON A VERIFIER AVEC LE CLIP ACTIS CONSULT REPROGRAMMATION TABLEAU DE BORD,fuel gauge issue
,,ERREUR SUR AUTONOMIE,,,ERREUR SUR AUTONOMIE, . ERREUR SUR AUTONOMIE,reset adac
ŻTEVEC SE JE SAMODEJNO RESETIRAL,,KONFIGURACIJA,LE COMPTEUR REÇU AUTOMATIQUEMENT,,CONFIGURATION,LE COMPTEUR REÇU AUTOMATIQUEMENT. CONFIGURATION,inex
RESETUJ SI­ WSKAZANIA NA TABLICY WSKANIKĺW,Koniecznosc aktualizacji oprogramowania modulu tablicy rozdzielczej.,W oparciu o uwagi klienta wykonano kontrole oraz aktualizacje oprogramowania modulu tablicy rozdzielczej.//Po wykonaniu reprogu potwierdzono ustapienie zglaszanej usterki.,RÉINITIALISER LES INDICATIONS SUR LE TABLEAU DE BORD,Mise à jour du logiciel du module de tableau de bord requise.,"Sur la base des commentaires du client, des inspections et des mises à jour logicielles du module de tableau de bord ont été effectuées. Après le nouveau seuil, le défaut signalé a été confirmé.","RÉINITIALISER LES INDICATIONS SUR LE TABLEAU DE BORD. Mise à jour du logiciel du module de tableau de bord requise. Sur la base des commentaires du client, des inspections et des mises à jour logicielles du module de tableau de bord ont été effectuées. Après le nouveau seuil, le défaut signalé a été confirmé.",reset adac
Tageskilometerzähler ohne Funktion,,Actis: 61855,Compteur journalier ne fonctionne pas,,Acte : 61855,Compteur journalier ne fonctionne pas. Acte : 61855,reset adac
ANZEIGE REICHWEITE ZEIGT FALSCHE WERTE,SOFTWAREPROBLEM INSTRUMENTENTAFEL,ANZEIGE REICHWEITE ZEIGT FALSCHE WERTE//ACTIS 61855 NEUPROGRAMMIERUNG 247 CODECAL 7R8WYH,LA PLAGE D'AFFICHAGE INDIQUE DES VALEURS INCORRECTES,PROBLÈME LOGICIEL TABLEAU DE BORD,LA PLAGE D'AFFICHAGE MONTRE DES VALEURS INCORRECTESTEACTIS 61855 REPROGRAMMATION 247 CODECAL 7R8WYH,LA PLAGE D'AFFICHAGE INDIQUE DES VALEURS INCORRECTES. PROBLÈME LOGICIEL TABLEAU DE BORD. LA PLAGE D'AFFICHAGE MONTRE DES VALEURS INCORRECTESTEACTIS 61855 REPROGRAMMATION 247 CODECAL 7R8WYH,reset adac
VEHICULE C EST ARRETE A UN STOP ET N A PAS PU REDEMARRER A PLUSIEURS REPRISE,LE VEHICULE NE REDEMARRE PLUS APRES LE DECLENCHEMENT DU START AND STOP,CONTROLE DES DTC ET CONTROLE DE LA BATTERIE. CONTROEL DE SOLUTION ACTIS ET REPROGRAMAMTION EFFECTUE COMME SOLUTION ACTIS//ESSAI ROUTIER,VEHICULE C EST ARRETE A UN STOP ET N A PAS PU REDEMARRER A PLUSIEURS REPRISE,LE VEHICULE NE REDEMARRE PLUS APRES LE DECLENCHEMENT DU START AND STOP,CONTROLE DES DTC ET CONTROLE DE LA BATTERIE. CONTROEL DE SOLUTION ACTIS ET REPROGRAMAMTION EFFECTUE COMME SOLUTION ACTISESSAI ROUTIER,VEHICULE C EST ARRETE A UN STOP ET N A PAS PU REDEMARRER A PLUSIEURS REPRISE. LE VEHICULE NE REDEMARRE PLUS APRES LE DECLENCHEMENT DU START AND STOP. CONTROLE DES DTC ET CONTROLE DE LA BATTERIE. CONTROEL DE SOLUTION ACTIS ET REPROGRAMAMTION EFFECTUE COMME SOLUTION ACTISESSAI ROUTIER,out of scope
VERF. COMPUTADOR BORDO SEMPRE A REINICIAR,"DIAG , REPROG DO QUADRO INSTR,CONFIGURACAO DO CALC ABS,ENSAIO ESTRADA",VERF. COMPUTADOR BORDO SEMPRE A REINICIAR ANOMALIA DE CALIBRACAO DO QUADRO INSTRUMENTOS,VERF. L'ORDINATEUR DE BORD REDÉMARRE TOUJOURS,"DIAG, REPROG CARTE INSTR, CONFIGURATION ABS CALC, ESSAI ROUTIER",VERF. ORDINATEUR DE BORD TOUJOURS REINITIALISER L'ANOMALIE DE CALIBRAGE TABLEAU DE BORD,"VERF. L'ORDINATEUR DE BORD REDÉMARRE TOUJOURS. DIAG, REPROG CARTE INSTR, CONFIGURATION ABS CALC, ESSAI ROUTIER. VERF. ORDINATEUR DE BORD TOUJOURS REINITIALISER L'ANOMALIE DE CALIBRAGE TABLEAU DE BORD",reset adac
Skiltegenkendelse virker ikke,,"Kundekalge bekræftet - 1999 fejlfinding - DTC udlæst med CLIP, periodiske fejl gemt - kontrol af indstilling i radio, ok//k - bil nulstillet, stel af/på mont - kontrol af SW, ny SW tilgængelig - 8999 kombbinstrument opdateret - bil ok",La reconnaissance des signes ne fonctionne pas,,"Appel client confirmé - Dépannage 1999 - DTC lu avec CLIP, erreurs périodiques enregistrées - vérifier le réglage de la radio, ok - réinitialisation de la voiture, cadre sur le support - vérification du SW, nouveau SW disponible - instrument de peigne 8999 mis à jour - voiture ok","La reconnaissance des signes ne fonctionne pas. Appel client confirmé - Dépannage 1999 - DTC lu avec CLIP, erreurs périodiques enregistrées - vérifier le réglage de la radio, ok - réinitialisation de la voiture, cadre sur le support - vérification du SW, nouveau SW disponible - instrument de peigne 8999 mis à jour - voiture ok",out of scope
KM PARZIALI NON VISUALIZZATI SUL QUADRO,KM PARZIALI NON VISUALIZZATI SU QUADRO STRUMENTI,EFFETTUATA RIPROGRAMMAZIONE QUADRO STRUMENTI//PROBLEMA RISOLTO.,KM PARTIEL NON AFFICHÉ SUR LE PANNEAU,KM PARTIEL NON AFFICHÉ AU TABLEAU DE BORD,PROBLÈME DE REPROGRAMMATION DU TABLEAU DE BORD RÉSOLU.,KM PARTIEL NON AFFICHÉ SUR LE PANNEAU. KM PARTIEL NON AFFICHÉ AU TABLEAU DE BORD. PROBLÈME DE REPROGRAMMATION DU TABLEAU DE BORD RÉSOLU.,reset adac
SCHERMO TOUCH NON FUNZIONA,RIPROGRAMMATO QUADRO STRUMENTI,SCHERMO TOUCH NON FUNZIONA BLOCCATO RICONFIGURAZIONE QUADRO STRUMENTI.. REF 248099519R,L'ÉCRAN TACTILE NE FONCTIONNE PAS,TABLEAU DE BORD REPROGRAMMÉ,L'ÉCRAN TACTILE NE FONCTIONNE PAS RECONFIGURATION DU TABLEAU DE BORD VERROUILLÉ .. REF 248099519R,L'ÉCRAN TACTILE NE FONCTIONNE PAS. TABLEAU DE BORD REPROGRAMMÉ. L'ÉCRAN TACTILE NE FONCTIONNE PAS RECONFIGURATION DU TABLEAU DE BORD VERROUILLÉ . REF 248099519R,inex
ERRATA INDICAZIONE DELL'AUTONOMIA,SOFTWARE QUADRO STRUMENTI NON CORRETTO,APPLICAZIONE SOLUZIONE ACTIS 61596,INDICATION INCORRECTE DE L'AUTONOMIE,LOGICIEL DE TABLEAU DE BORD INCORRECT,APPLICATION DE LA SOLUTION ACTIS 61596,INDICATION INCORRECTE DE L'AUTONOMIE. LOGICIEL DE TABLEAU DE BORD INCORRECT. APPLICATION DE LA SOLUTION ACTIS 61596,reset adac
,großen Schwierigkeiten beim Programmieren.,Dies geschieht alle 2-3 Wochen          morgens nach dem 1. Start.              Actislösung 61855 angewendet mit,,grandes difficultés de programmation.,Cela se produit toutes les 2-3 semaines le matin après le 1er démarrage. Actis solution 61855 appliquée avec, grandes difficultés de programmation. Cela se produit toutes les 2-3 semaines le matin après le 1er démarrage. Actis solution 61855 appliquée avec,reset adac
quadro strumenti controllare i  menu non conformi ( autonomia velocita media),ANOMALIA SW QUADRO STRUMENTI,APPLICATA SA 61855 CON RIPROGRAMMAZIONE QUADRO STRUMENTI,contrôle tableau de bord menus non conformes (plage de vitesse moyenne),TABLEAU DE BORD ANOMALIE SW,APPLIED SA 61855 AVEC REPROGRAMMATION TABLEAU DE BORD,contrôle tableau de bord menus non conformes (plage de vitesse moyenne). TABLEAU DE BORD ANOMALIE SW. APPLIED SA 61855 AVEC REPROGRAMMATION TABLEAU DE BORD,reset adac
SPIA PNEUMATICI ACCESA,SPIA PNEUMATICI ACCESA,SPIA PNEUMATICI ACCESA,VOYANT D'AVERTISSEMENT DES PNEUS ALLUMÉ,VOYANT D'AVERTISSEMENT DES PNEUS ALLUMÉ,VOYANT D'AVERTISSEMENT DES PNEUS ALLUMÉ,VOYANT D'AVERTISSEMENT DES PNEUS ALLUMÉ. VOYANT D'AVERTISSEMENT DES PNEUS ALLUMÉ. VOYANT D'AVERTISSEMENT DES PNEUS ALLUMÉ,out of scope
SI RESETTANO DA SOLI I KM PARZIALI,AGGIORNAMENTO QUADRO,SOL ACTIS 61855,LA RÉINITIALISATION PARTIELLE DES KM PAR VOUS-MÊME,MISE À JOUR DU CADRE,SOL ACTIS 61855,LA RÉINITIALISATION PARTIELLE DES KM PAR VOUS-MÊME. MISE À JOUR DU CADRE. SOL ACTIS 61855,reset adac
COMPTEURS AU TABLEAU DE BORD SE REINITIALISENT TOUT SEUL,PROBLEME INTERNE CALCULATEUR TABLEAU DE BORD,RECHERCHE DE PANNE + CONTROLE CLIP + CONTROLE CABLAGE TB+ RE PROGRAMMATION TB CONFIGURATION AUTO + ESSAI,COMPTEURS AU TABLEAU DE BORD SE REINITIALISENT TOUT SEUL,PROBLEME INTERNE CALCULATEUR TABLEAU DE BORD,RECHERCHE DE PANNE + CONTROLE CLIP + CONTROLE CABLAGE TB+ RE PROGRAMMATION TB CONFIGURATION AUTO + ESSAI,COMPTEURS AU TABLEAU DE BORD SE REINITIALISENT TOUT SEUL. PROBLEME INTERNE CALCULATEUR TABLEAU DE BORD. RECHERCHE DE PANNE + CONTROLE CLIP + CONTROLE CABLAGE TB+ RE PROGRAMMATION TB CONFIGURATION AUTO + ESSAI,reset adac
"VERIF. AUTONOMIA, NAO CORRESPONDE",DIAG AOS CALCUALDORES,CONFIGURACAO DO QUADRO DE INSTRUMENTOS,"CHÈQUE AUTONOMIE, NE CORRESPOND PAS",DIAG VERS ORDINATEURS,CONFIGURATION DU CADRE DE L'INSTRUMENT,"CHÈQUE AUTONOMIE, NE CORRESPOND PAS. DIAG VERS ORDINATEURS. CONFIGURATION DU CADRE DE L'INSTRUMENT",reset adac
KBA:TAGESKILOMETERZÄHLER SETZT SICH STELLENWEISE ALLEINE ZURÜCK:ANZEIGE DARUNTER,Lösung 61855,Reprog 247,KBA : COMPTEUR TRIP RÉINITIALISÉ PAR SES PROPRES ENDROITS : AFFICHAGE CI-DESSOUS,Solution 61855,Reprog 247,KBA : COMPTEUR TRIP RÉINITIALISÉ PAR SES PROPRES ENDROITS : AFFICHAGE CI-DESSOUS. Solution 61855. Reprog 247,reset adac
UNA VOLTA SOLA SUL QUADRO STRUMENTI LE TACCHE CHE MISURANO LIVELLO OLIO MOTORE S,RIPROGRAMMAZIONE QUADRO STRUMENTI,RIPROGRAMMAZIONE QUADRO STRUMENTI,UNE SEULE FOIS SUR LE TABLEAU DE BORD LES ENCOCHES QUI MESURENT LE NIVEAU D'HUILE MOTEUR S,REPROGRAMMATION DU TABLEAU DE BORD,REPROGRAMMATION DU TABLEAU DE BORD,UNE SEULE FOIS SUR LE TABLEAU DE BORD LES ENCOCHES QUI MESURENT LE NIVEAU D'HUILE MOTEUR S. REPROGRAMMATION DU TABLEAU DE BORD. REPROGRAMMATION DU TABLEAU DE BORD,inex
AGGIORNAMENTO QUADRO STRUMENTI,AGGIORNAMENTO QUADRO STRUMENTI,AGGIORNAMENTO QUADRO STRUMENTI//AGGIORNAMENTO QUADRO STRUMENTI,MISE À JOUR DU TABLEAU DE BORD,MISE À JOUR DU TABLEAU DE BORD,MISE À JOUR DU TABLEAU DE BORD MISE À JOUR DU TABLEAU DE BORD,MISE À JOUR DU TABLEAU DE BORD. MISE À JOUR DU TABLEAU DE BORD. MISE À JOUR DU TABLEAU DE BORD MISE À JOUR DU TABLEAU DE BORD,inex
PERDITA IMPOSTAZIONE CALC QUADRO        STRUMENTAZIONE,,RIPROGRAMMAZIONE CALC QUADRO STRUMENTAZIONE,PERTE DE RÉGLAGE CALC TABLEAU DE BORD,,REPROGRAMMATION CALC TABLEAU DE BORD,PERTE DE RÉGLAGE CALC TABLEAU DE BORD. REPROGRAMMATION CALC TABLEAU DE BORD,reset adac
SU DISPLAY CRUSCOTTO ALCUNI VALORI NON SONO CORRETTI (NON CI SONO DATI AUTONOMIA,CONFIGURAZIONE QUADRO STRUMENTI,CONFIGURAZIONE QUADRO STRUMENTI,"SUR L'AFFICHAGE DU TABLEAU DE BORD, CERTAINES VALEURS SONT INCORRECTES (IL N'Y A PAS DE DONNÉES D'AUTONOMIE",CONFIGURATION DU TABLEAU DE BORD,CONFIGURATION DU TABLEAU DE BORD,"SUR L'AFFICHAGE DU TABLEAU DE BORD, CERTAINES VALEURS SONT INCORRECTES (IL N'Y A PAS DE DONNÉES D'AUTONOMIE. CONFIGURATION DU TABLEAU DE BORD. CONFIGURATION DU TABLEAU DE BORD",reset adac
CUADRO DE INSTRUMENTOS SE REINICIA SIN TOCARLO,REPROGRAMAR CUADRO SE REINICIA SOLO CODECAL MG8R06,AUTORIZACION FIC 4-10729281,LE TABLEAU DE BORD REDÉMARRE SANS LE TOUCHER,REPROGRAMMATION CADRE UNIQUEMENT RÉINITIALISATION CODECAL MG8R06,AUTORISATION FIC 4-10729281,LE TABLEAU DE BORD REDÉMARRE SANS LE TOUCHER. REPROGRAMMATION CADRE UNIQUEMENT RÉINITIALISATION CODECAL MG8R06. AUTORISATION FIC 4-10729281,reset adac
,Konfig Instrumententafel,Konfig Instrumententafel,,Tableau de bord de configuration,Tableau de bord de configuration, Tableau de bord de configuration. Tableau de bord de configuration,inex
kontrolka kluczyk,,TEST CLIP I PRZEPROGRAMOWANIE TABLICY WSKAZNIKOW,voyant de touche,,TEST CLIP ET REPROGRAMMATION DU PANNEAU D'INDICATEURS,voyant de touche. TEST CLIP ET REPROGRAMMATION DU PANNEAU D'INDICATEURS,out of scope
problème de jauge a carburant / mauvaise indication,,CTRL SUITE CLIP DIAG GUIDE / INITIALISATION + CONFIGURATION AUTO DU TDB,problème de jauge a carburant  mauvaise indication,,CTRL SUITE CLIP DIAG GUIDE  INITIALISATION + CONFIGURATION AUTO DU TDB,problème de jauge a carburant mauvaise indication. CTRL SUITE CLIP DIAG GUIDE INITIALISATION + CONFIGURATION AUTO DU TDB,fuel gauge issue
PROBLEME DE JAUGE QUI EST RESTEE BLOQUEE,configuration tableau de bord,configuration tableau de bord,PROBLEME DE JAUGE QUI EST RESTEE BLOQUEE,configuration tableau de bord,configuration tableau de bord,PROBLEME DE JAUGE QUI EST RESTEE BLOQUEE. configuration tableau de bord. configuration tableau de bord,fuel gauge issue
AIGUILLE TEMP QUI OSCILLE ET GMV APRES COUPURE CONTACT,AIGUILLE TEMPERATURE OSCILLE,CTL CLIP CTL ALIMENTATION MASSE TEST DE CHAUFFE CONFIG TB,AIGUILLE TEMP QUI OSCILLE ET GMV APRES COUPURE CONTACT,AIGUILLE TEMPERATURE OSCILLE,CTL CLIP CTL ALIMENTATION MASSE TEST DE CHAUFFE CONFIG TB,AIGUILLE TEMP QUI OSCILLE ET GMV APRES COUPURE CONTACT. AIGUILLE TEMPERATURE OSCILLE. CTL CLIP CTL ALIMENTATION MASSE TEST DE CHAUFFE CONFIG TB,out of scope
Горит ошибка по подушкам безопасности на приборной панели,Внутренняя неисправность щитка приборов КН(согласование)-4-10129948,При подключении Clip выявлены ошибки  940413 и 80D249 (цепь индикатора неисправности под. без) и инд.неиспр под.на щитке//Конфигурирование щитка приборов и ЭБУ подушек безопасности неисправность не устранили,Témoin airbag sur tableau de bord,Dysfonctionnement interne du tableau de bord KN (coordination) -4-10129948,Erreurs 940413 et 80D249 (circuit indicateur de défaut sous. Sans) et ind.fault sur le panneau ont été détectés lors de la connexion du Clip.,Témoin airbag sur tableau de bord. Dysfonctionnement interne du tableau de bord KN (coordination) -4-10129948. Erreurs 940413 et 80D249 (circuit indicateur de défaut sous. Sans) et ind.fault sur le panneau ont été détectés lors de la connexion du Clip.,out of scope
,,Kontrolle Radio mit Clip auf Fehler - keine gespeichert - Radio mit Erfolg neu//konfiguriert,,,Vérifiez la radio avec le clip pour les erreurs - aucune enregistrée - radio reconfigurée avec succès, . Vérifiez la radio avec le clip pour les erreurs - aucune enregistrée - radio reconfigurée avec succès,inex
